modality,model,accuracy,balanced_accuracy,macro_f1
Audio only,MLP,0.8288637213551484,0.8219564773455307,0.8256998608298766
Audio + dense text,RandomForest,0.8250064841376868,0.8163770375077233,0.8226580830627954
Audio + TF-IDF,RandomForest,0.8182690882238116,0.811181098111234,0.8162415597763679
Audio only,RandomForest,0.81651581604646,0.8102734165539592,0.8140068595026596
Audio + dense text,MLP,0.8160717091680441,0.8101709402873656,0.8118628646972018
Audio + TF-IDF,MLP,0.7942652241408712,0.7902051872074446,0.7910104290377566
Text TF-IDF,RandomForest,0.476613147067359,0.458002914658619,0.4642632946622206
Text TF-IDF,MLP,0.46293390039381344,0.4526125953345039,0.45076004220405463
Text dense only,RandomForest,0.42404950809051434,0.39055691987393404,0.3901208390763935
Text dense only,MLP,0.41284027144432994,0.39304044821026407,0.38968180997194396
